Time,Target #,Type,Distance,Angle,Coordinates
0,0,Aircraft,14.1421,45,10:10
0,1,Missile,14.1421,135,-10:10
1,0,Aircraft,12.1421,45,8.58579:8.58579
1,1,Missile,37.1421,135,-26.2635:26.2635
2,0,Aircraft,10.1421,45,7.17157:7.17157
2,1,Missile,102.142,135,-72.2254:72.2254
3,0,Aircraft,8.14214,45,5.75736:5.75736
3,1,Missile,209.142,135,-147.886:147.886
4,0,Aircraft,6.14214,45,4.34315:4.34315
4,1,Missile,358.142,135,-253.245:253.245
5,0,Aircraft,4.14214,45,2.92893:2.92893
5,1,Missile,549.142,135,-388.302:388.302
6,0,Aircraft,2.14214,45,1.51472:1.51472
6,1,Missile,782.142,135,-553.058:553.058
7,0,Aircraft,0.142136,45,0.100505:0.100505
8,0,Aircraft,1.85786,225,-1.31371:-1.31371
9,0,Aircraft,3.85786,225,-2.72792:-2.72792
10,0,Aircraft,5.85786,225,-4.14214:-4.14214
11,0,Aircraft,7.85786,225,-5.55635:-5.55635
12,0,Aircraft,9.85786,225,-6.97056:-6.97056
13,0,Aircraft,11.8579,225,-8.38478:-8.38478
14,0,Aircraft,13.8579,225,-9.79899:-9.79899
15,0,Aircraft,15.8579,225,-11.2132:-11.2132
16,0,Aircraft,17.8579,225,-12.6274:-12.6274
17,0,Aircraft,19.8579,225,-14.0416:-14.0416
18,0,Aircraft,21.8579,225,-15.4558:-15.4558
19,0,Aircraft,23.8579,225,-16.8701:-16.8701
20,0,Aircraft,25.8579,225,-18.2843:-18.2843
21,0,Aircraft,27.8579,225,-19.6985:-19.6985
22,0,Aircraft,29.8579,225,-21.1127:-21.1127
23,0,Aircraft,31.8579,225,-22.5269:-22.5269
24,0,Aircraft,33.8579,225,-23.9411:-23.9411
25,0,Aircraft,35.8579,225,-25.3553:-25.3553
26,0,Aircraft,37.8579,225,-26.7696:-26.7696
27,0,Aircraft,39.8579,225,-28.1838:-28.1838
28,0,Aircraft,41.8579,225,-29.598:-29.598
29,0,Aircraft,43.8579,225,-31.0122:-31.0122
30,0,Aircraft,45.8579,225,-32.4264:-32.4264
31,0,Aircraft,47.8579,225,-33.8406:-33.8406
32,0,Aircraft,49.8579,225,-35.2548:-35.2548
33,0,Aircraft,51.8579,225,-36.669:-36.669
34,0,Aircraft,53.8579,225,-38.0833:-38.0833
35,0,Aircraft,55.8579,225,-39.4975:-39.4975
36,0,Aircraft,57.8579,225,-40.9117:-40.9117
37,0,Aircraft,59.8579,225,-42.3259:-42.3259
38,0,Aircraft,61.8579,225,-43.7401:-43.7401
39,0,Aircraft,63.8579,225,-45.1543:-45.1543
40,0,Aircraft,65.8579,225,-46.5685:-46.5685
41,0,Aircraft,67.8579,225,-47.9828:-47.9828
42,0,Aircraft,69.8579,225,-49.397:-49.397
43,0,Aircraft,71.8579,225,-50.8112:-50.8112
44,0,Aircraft,73.8579,225,-52.2254:-52.2254
45,0,Aircraft,75.8579,225,-53.6396:-53.6396
46,0,Aircraft,77.8579,225,-55.0538:-55.0538
47,0,Aircraft,79.8579,225,-56.468:-56.468
48,0,Aircraft,81.8579,225,-57.8823:-57.8823
49,0,Aircraft,83.8579,225,-59.2965:-59.2965
50,0,Aircraft,85.8579,225,-60.7107:-60.7107
51,0,Aircraft,87.8579,225,-62.1249:-62.1249
52,0,Aircraft,89.8579,225,-63.5391:-63.5391
53,0,Aircraft,91.8579,225,-64.9533:-64.9533
54,0,Aircraft,93.8579,225,-66.3675:-66.3675
55,0,Aircraft,95.8579,225,-67.7817:-67.7817
56,0,Aircraft,97.8579,225,-69.196:-69.196
57,0,Aircraft,99.8579,225,-70.6102:-70.6102
58,0,Aircraft,101.858,225,-72.0244:-72.0244
59,0,Aircraft,103.858,225,-73.4386:-73.4386
60,0,Aircraft,105.858,225,-74.8528:-74.8528
61,0,Aircraft,107.858,225,-76.267:-76.267
62,0,Aircraft,109.858,225,-77.6812:-77.6812
63,0,Aircraft,111.858,225,-79.0955:-79.0955
64,0,Aircraft,113.858,225,-80.5097:-80.5097
65,0,Aircraft,115.858,225,-81.9239:-81.9239
66,0,Aircraft,117.858,225,-83.3381:-83.3381
67,0,Aircraft,119.858,225,-84.7523:-84.7523
68,0,Aircraft,121.858,225,-86.1665:-86.1665
69,0,Aircraft,123.858,225,-87.5807:-87.5807
70,0,Aircraft,125.858,225,-88.9949:-88.9949
71,0,Aircraft,127.858,225,-90.4092:-90.4092
72,0,Aircraft,129.858,225,-91.8234:-91.8234
73,0,Aircraft,131.858,225,-93.2376:-93.2376
74,0,Aircraft,133.858,225,-94.6518:-94.6518
