#####################################
##### THERE ARE 2 TARGETS ###########
RLS range: 1000
RLS coordinates: 0:0
###########STARTING PELENG###########
Time: 0, Target #0, Type: Aircraft, Distance: 14.1421, Angle: 45, Coordinates: 10:10
Time: 0, Target #1, Type: Missile, Distance: 14.1421, Angle: 135, Coordinates: -10:10
Time: 1, Target #0, Type: Aircraft, Distance: 12.1421, Angle: 45, Coordinates: 8.58579:8.58579
Time: 1, Target #1, Type: Missile, Distance: 37.1421, Angle: 135, Coordinates: -26.2635:26.2635
Time: 2, Target #0, Type: Aircraft, Distance: 10.1421, Angle: 45, Coordinates: 7.17157:7.17157
Time: 2, Target #1, Type: Missile, Distance: 102.142, Angle: 135, Coordinates: -72.2254:72.2254
Time: 3, Target #0, Type: Aircraft, Distance: 8.14214, Angle: 45, Coordinates: 5.75736:5.75736
Time: 3, Target #1, Type: Missile, Distance: 209.142, Angle: 135, Coordinates: -147.886:147.886
Time: 4, Target #0, Type: Aircraft, Distance: 6.14214, Angle: 45, Coordinates: 4.34315:4.34315
Time: 4, Target #1, Type: Missile, Distance: 358.142, Angle: 135, Coordinates: -253.245:253.245
Time: 5, Target #0, Type: Aircraft, Distance: 4.14214, Angle: 45, Coordinates: 2.92893:2.92893
Time: 5, Target #1, Type: Missile, Distance: 549.142, Angle: 135, Coordinates: -388.302:388.302
Time: 6, Target #0, Type: Aircraft, Distance: 2.14214, Angle: 45, Coordinates: 1.51472:1.51472
Time: 6, Target #1, Type: Missile, Distance: 782.142, Angle: 135, Coordinates: -553.058:553.058
Time: 7, Target #0, Type: Aircraft, Distance: 0.142136, Angle: 45, Coordinates: 0.100505:0.100505
Time: 8, Target #0, Type: Aircraft, Distance: 1.85786, Angle: 225, Coordinates: -1.31371:-1.31371
Time: 9, Target #0, Type: Aircraft, Distance: 3.85786, Angle: 225, Coordinates: -2.72792:-2.72792
Time: 10, Target #0, Type: Aircraft, Distance: 5.85786, Angle: 225, Coordinates: -4.14214:-4.14214
Time: 11, Target #0, Type: Aircraft, Distance: 7.85786, Angle: 225, Coordinates: -5.55635:-5.55635
Time: 12, Target #0, Type: Aircraft, Distance: 9.85786, Angle: 225, Coordinates: -6.97056:-6.97056
Time: 13, Target #0, Type: Aircraft, Distance: 11.8579, Angle: 225, Coordinates: -8.38478:-8.38478
Time: 14, Target #0, Type: Aircraft, Distance: 13.8579, Angle: 225, Coordinates: -9.79899:-9.79899
Time: 15, Target #0, Type: Aircraft, Distance: 15.8579, Angle: 225, Coordinates: -11.2132:-11.2132
